Server_06	Server_00	Server_01	Server_02	Server_03	Server_04	Server_05	Server_07	Server_0	Time
3.431	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.207	256.549
3.353	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.207	256.716
3.353	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	257.719
3.291	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	258.158
3.241	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	261.812
3.397	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	261.881
3.424	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	262.349
3.446	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	262.768
3.463	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	268.826
3.379	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.174	270.603
3.379	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.148	274.901
3.379	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.126	275.158
3.379	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.110	282.128
3.311	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.110	285.277
3.257	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.110	285.533
3.312	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.110	285.558
3.356	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.110	285.759
3.356	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.194	286.239
3.293	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.194	287.103
3.293	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	287.183
3.243	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	288.097
3.301	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	290.590
3.347	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	290.635
3.384	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	290.645
3.413	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	291.831
3.437	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	291.860
3.358	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	291.962
3.295	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	292.099
3.244	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	292.666
3.204	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.164	293.787
3.204	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	294.686
3.171	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	295.007
3.145	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	296.080
3.223	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	296.780
3.284	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	297.691
3.334	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	297.906
3.373	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	300.123
3.307	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	300.157
3.254	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	300.964
3.310	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	301.751
3.158	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	301.801
3.233	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	303.853
3.293	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	304.621
3.242	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	305.545
3.202	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	306.898
3.170	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.139	307.391
3.170	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	309.187
3.145	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	311.822
3.124	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	312.254
3.206	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.218	313.511
3.206	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.280	315.320
3.173	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.280	318.355
3.173	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	319.289
3.245	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	324.927
3.106	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	332.133
3.093	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	332.341
3.083	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	335.390
3.075	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.331	335.414
3.075	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.273	335.476
3.068	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.273	335.615
3.161	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.273	337.429
3.137	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.273	337.978
3.137	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.325	339.049
3.216	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.325	339.211
3.279	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.325	340.417
3.232	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.325	340.462
3.292	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.325	340.472
3.292	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	341.184
3.340	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	341.664
3.378	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	341.693
3.311	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	341.792
3.257	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	342.476
3.214	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	343.586
3.277	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	344.082
3.230	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.268	344.837
3.230	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	345.924
3.291	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	346.667
3.339	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	347.604
3.377	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	347.826
3.408	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	348.130
3.433	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	350.024
3.355	4.000	4.000	4.000	4.000	4.000	4.000	4.000	3.321	350.841
